UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
8134,L55313,L,299.8,311.1,1466,46.1,58,0,No Failure
1484,L48663,L,298.0,308.9,1578,35.6,153,0,No Failure
7233,M22092,M,299.9,309.9,1639,42.1,159,0,No Failure
8517,L55696,L,298.3,309.6,1527,30.9,189,0,No Failure
8894,L56073,L,297.5,308.7,1371,46.5,121,0,No Failure
5729,M20588,M,302.4,311.9,1422,46.4,194,0,No Failure
3055,H32468,H,300.2,309.3,1342,48.7,68,0,No Failure
3070,L50249,L,300.0,309.1,1791,28.2,108,0,No Failure
130,L47309,L,298.9,308.5,1559,34.3,126,0,No Failure
5034,L52213,L,304.0,313.1,1564,50.9,119,0,No Failure
7728,M22587,M,300.7,311.9,1657,30.9,116,0,No Failure
716,L47895,L,297.4,308.6,1324,59.1,118,0,No Failure
8781,M23640,M,297.5,308.6,1327,52.1,24,0,No Failure
4595,M19454,M,303.0,311.2,1387,41.4,100,0,No Failure
9791,L56970,L,298.6,309.5,1483,43.2,92,0,No Failure
7229,H36642,H,299.8,309.7,1368,47.4,148,0,No Failure
1907,L49086,L,297.9,307.6,1430,52.4,178,0,No Failure
4960,L52139,L,303.8,312.6,1735,25.9,154,0,No Failure
9936,L57115,L,298.4,308.3,1452,48.5,73,0,No Failure
8450,L55629,L,298.4,309.9,1725,27.8,21,0,No Failure
3679,L50858,L,302.2,311.5,1567,33.1,168,0,No Failure
7480,M22339,M,300.1,311.3,1523,34.1,135,0,No Failure
6800,M21659,M,301.1,310.7,2636,12.2,100,1,Power Failure
5651,L52830,L,302.5,312.0,1456,46.3,208,0,No Failure
8845,H38258,H,297.4,308.9,1645,30.8,196,0,No Failure
4167,H33580,H,302.3,310.6,1525,48.7,114,0,No Failure
6928,L54107,L,301.1,311.6,1488,43.4,5,0,No Failure
2604,M17463,M,299.3,309.2,1334,46.3,31,0,No Failure
4852,L52031,L,303.7,312.1,1363,51.8,90,1,Heat Dissipation Failure
8090,L55269,L,300.1,311.3,1676,30.3,151,0,No Failure
7801,M22660,M,300.1,311.4,1524,40.6,98,0,No Failure
1213,L48392,L,296.9,307.9,1359,56.5,110,0,No Failure
3101,L50280,L,299.8,309.1,1578,42.1,191,0,No Failure
3047,M17906,M,300.2,309.4,1501,40.0,48,0,No Failure
1660,L48839,L,298.1,308.0,1697,31.0,164,0,No Failure
3752,L50931,L,302.4,311.1,1520,42.2,143,0,No Failure
2401,H31814,H,299.2,308.6,1462,55.0,163,0,No Failure
8067,L55246,L,300.4,311.9,1868,21.3,92,0,No Failure
3122,L50301,L,300.1,309.4,2141,17.9,33,0,No Failure
6304,H35717,H,301.2,310.6,1457,50.5,114,0,No Failure
9463,L56642,L,298.5,309.3,1570,40.1,131,0,No Failure
